% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-05
% Frequency: 16400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00000.000  -60.24  -83.94
00001.000  -60.25  -87.00
00002.000  -60.19  -89.67
00003.000  -60.17  -93.36
00004.000  -60.18  -97.66
00005.000  -60.23 -100.51
00006.000  -60.11 -103.49
00007.000  -60.17 -107.38
00008.000  -60.20 -110.43
00009.000  -60.22 -113.50
00010.000  -60.08 -116.87
00011.000  -60.14 -119.68
00012.000  -60.19 -123.63
00013.000  -60.24 -126.99
00014.000  -60.10 -129.30
00015.000  -60.15 -133.45
00016.000  -60.14 -136.33
00017.000  -60.14 -139.44
00018.000  -60.21 -142.48
00019.000  -60.08 -145.45
00020.000  -60.10 -149.42
00021.000  -60.06 -152.34
00022.000  -60.16 -156.14
00023.000  -60.13 -158.88
00024.000  -60.14 -162.74
00025.000  -60.18 -165.69
00026.000  -60.14 -168.58
00027.000  -60.13 -172.05
00028.000  -60.04 -175.32
00029.000  -60.04 -177.90
00030.000  -60.08  178.33
00031.000  -60.14  174.97
00032.000  -60.06  172.07
00033.000  -60.11  168.54
00034.000  -60.10  165.79
00035.000  -60.08  162.08
00036.000  -60.05  159.05
00037.000  -60.10  155.91
00038.000  -60.06  151.96
00039.000  -60.04  148.42
00040.000  -59.96  145.60
00041.000  -60.01  142.72
00042.000  -60.05  139.51
00043.000  -60.01  135.28
00044.000  -59.98  132.51
00045.000  -60.02  130.19
00046.000  -60.05  126.14
00047.000  -59.97  123.22
00048.000  -60.04  119.61
00049.000  -60.02  116.21
00050.000  -60.01  112.77
00051.000  -59.98  109.85
00052.000  -60.11  105.99
00053.000  -59.93  103.72
00054.000  -60.02   99.78
00055.000  -60.07   95.75
00056.000  -60.09   92.54
00057.000  -60.17   89.50
00058.000  -60.18   86.86
00059.000  -60.14   83.12
00060.000  -60.05   79.81
00061.000  -60.09   76.90
00062.000  -60.11   73.20
00063.000  -60.16   70.03
00064.000  -60.11   66.63
00065.000  -60.12   63.39
00066.000  -60.11   60.50
00067.000  -60.16   57.54
00068.000  -60.13   54.72
00069.000  -60.23   50.48
00070.000  -60.19   47.26
00071.000  -60.18   43.51
00072.000  -60.19   40.42
00073.000  -60.26   37.47
00074.000  -60.24   33.55
00075.000  -60.00   30.97
00076.000  -60.20   27.34
00077.000  -60.18   24.84
00078.000  -60.12   21.20
00079.000  -60.19   18.52
00080.000  -60.15   14.20
00081.000  -60.17   11.19
00082.000  -60.12    8.19
00083.000  -60.23    4.77
00084.000  -60.25    2.31
00085.000  -60.23   -1.68
00086.000  -60.28   -4.74
00087.000  -60.20   -7.70
00088.000  -60.22  -11.44
00089.000  -60.23  -13.96
00090.000  -60.16  -17.51
00091.000  -60.23  -21.32
00092.000  -60.23  -24.31
00093.000  -60.14  -27.02
00094.000  -60.11  -30.37
00095.000  -60.24  -34.25
00096.000  -60.19  -37.09
00097.000  -60.21  -40.41
00098.000  -60.16  -43.51
00099.000  -60.24  -47.05
00100.000  -60.19  -50.60
00101.000  -60.13  -53.51
00102.000  -60.20  -57.17
00103.000  -60.10  -60.07
00104.000  -60.16  -63.09
00105.000  -60.17  -67.07
00106.000  -60.21  -69.65
00107.000  -60.15  -72.76
00108.000  -60.27  -77.27
00109.000  -60.11  -80.31
00110.000  -60.31  -83.71
00111.000  -60.32  -86.69
00112.000  -60.22  -89.46
00113.000  -60.28  -92.50
00114.000  -60.17  -96.56
00115.000  -60.31  -99.34
00116.000  -60.15 -102.58
00117.000  -60.17 -106.39
00118.000  -60.13 -109.66
00119.000  -60.24 -112.92
00120.000  -60.08 -115.45
00121.000  -60.17 -119.16
00122.000  -60.24 -122.25
00123.000  -60.17 -125.77
00124.000  -60.20 -129.16
00125.000  -60.28 -132.27
00126.000  -60.35 -135.33
00127.000  -60.26 -138.49
00128.000  -60.21 -142.72
00129.000  -60.18 -146.14
00130.000  -60.30 -149.32
00131.000  -60.26 -152.25
00132.000  -60.21 -155.89
00133.000  -60.16 -159.21
00134.000  -60.21 -162.59
00135.000  -60.18 -165.43
00136.000  -60.30 -169.06
00137.000  -60.35 -172.71
00138.000  -60.36 -176.38
00139.000  -60.29 -178.67
00140.000  -60.24  177.46
00141.000  -60.21  174.55
00142.000  -60.25  170.85
00143.000  -60.34  168.29
00144.000  -60.28  165.20
00145.000  -60.40  161.48
00146.000  -60.34  158.52
00147.000  -60.37  155.03
00148.000  -60.47  150.88
00149.000  -60.35  148.08
00150.000  -60.32  145.36
00151.000  -60.34  141.74
00152.000  -60.48  138.55
00153.000  -60.28  135.50
00154.000  -60.39  131.76
00155.000  -60.32  129.38
00156.000  -60.40  126.43
00157.000  -60.33  122.46
00158.000  -60.33  118.50
00159.000  -60.38  115.74
00160.000  -60.46  112.18
00161.000  -60.47  110.16
00162.000  -60.40  106.05
00163.000  -60.41  102.55
00164.000  -60.44   99.81
00165.000  -60.40   96.72
00166.000  -60.52   94.03
00167.000  -60.55   89.97
