% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-01
% Frequency: 24400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00000.000  -86.90  -58.64
00001.000  -87.04  -63.40
00002.000  -88.35  -58.96
00003.000  -86.68  -53.10
00004.000  -87.05  -58.58
00005.000  -89.23  -57.62
00006.000  -88.57  -53.15
00007.000  -86.83  -52.45
00008.000  -86.56  -54.11
00009.000  -87.20  -52.89
00010.000  -88.12  -59.61
00011.000  -87.77  -50.47
00012.000  -87.32  -45.11
00013.000  -86.81  -35.29
00014.000  -86.88  -33.79
00015.000  -87.60  -39.22
00016.000  -87.89  -43.35
00017.000  -87.84  -38.05
00018.000  -87.63  -37.97
00019.000  -87.48  -51.33
00020.000  -88.11  -54.95
00021.000  -86.99  -61.34
00022.000  -87.89  -54.81
00023.000  -87.92  -57.05
00024.000  -87.26  -64.74
00025.000  -88.79  -65.74
00026.000  -87.46  -65.24
00027.000  -87.68  -54.21
00028.000  -88.56  -63.11
00029.000  -87.66  -57.03
00030.000  -88.67  -66.87
00031.000  -88.13  -73.03
00032.000  -87.78  -76.32
00033.000  -87.48  -78.34
00034.000  -86.47  -79.69
00035.000  -87.49  -78.90
00036.000  -87.43  -72.50
00037.000  -86.92  -78.69
00038.000  -86.58  -89.55
00039.000  -87.68  -81.94
00040.000  -87.56  -86.93
00041.000  -86.90  -82.06
00042.000  -86.75  -85.45
00043.000  -86.53  -85.36
00044.000  -87.70  -80.13
00045.000  -86.47  -79.72
00046.000  -86.99  -80.27
00047.000  -87.27  -82.48
00048.000  -87.00  -77.58
00049.000  -87.68  -92.70
00050.000  -87.75  -91.29
00051.000  -87.68  -93.05
00052.000  -87.03  -85.57
00053.000  -86.85  -97.99
00054.000  -86.74  -97.21
00055.000  -87.79  -97.71
00056.000  -88.04 -102.44
00057.000  -87.28 -101.15
00058.000  -87.97  -99.96
00059.000  -87.66 -102.45
00060.000  -87.58  -99.51
00061.000  -86.53  -97.21
00062.000  -87.81 -102.58
00063.000  -87.04  -98.74
00064.000  -87.43 -106.79
00065.000  -87.67 -110.97
00066.000  -87.03 -125.19
00067.000  -86.90 -118.02
00068.000  -87.13 -123.85
00069.000  -87.56 -131.96
00070.000  -87.83 -132.83
00071.000  -86.33 -128.74
00072.000  -87.28 -131.97
00073.000  -87.62 -132.24
00074.000  -86.51 -129.80
00075.000  -87.14 -126.41
00076.000  -86.23 -125.55
00077.000  -87.32 -132.10
00078.000  -86.73 -134.57
00079.000  -87.34 -123.18
00080.000  -86.87 -130.94
00081.000  -86.86 -121.44
00082.000  -87.27 -119.49
00083.000  -87.57 -120.71
00084.000  -87.25 -121.96
00085.000  -86.77 -125.83
00086.000  -85.99 -122.85
00087.000  -87.30 -123.49
00088.000  -87.58 -124.98
00089.000  -87.69 -124.37
00090.000  -87.10 -122.80
00091.000  -87.64 -124.76
00092.000  -86.86 -129.34
00093.000  -87.70 -118.30
00094.000  -88.25 -110.71
00095.000  -87.88 -117.27
00096.000  -87.63 -112.73
00097.000  -87.18 -115.75
00098.000  -87.43 -103.66
00099.000  -87.34 -105.66
00100.000  -86.43 -106.48
00101.000  -87.22 -107.65
00102.000  -86.99 -108.07
00103.000  -85.81 -111.10
00104.000  -87.25 -103.86
00105.000  -86.38 -104.48
00106.000  -87.48 -100.82
00107.000  -87.02  -99.71
00108.000  -86.43  -86.15
00109.000  -86.81  -92.56
00110.000  -86.43  -97.82
00111.000  -86.48  -97.40
00112.000  -87.20  -92.31
00113.000  -87.34  -81.79
00114.000  -87.83  -85.57
00115.000  -87.17  -93.09
00116.000  -87.19  -82.60
00117.000  -86.75  -88.95
00118.000  -86.84  -82.20
00119.000  -86.84  -82.82
00120.000  -87.91  -88.13
00121.000  -87.86  -87.44
00122.000  -87.05  -84.86
00123.000  -87.13  -85.12
00124.000  -87.91  -91.21
00125.000  -88.14  -92.60
00126.000  -87.88  -81.45
00127.000  -87.75  -86.06
00128.000  -87.18  -81.21
00129.000  -86.65  -80.82
00130.000  -88.09  -84.23
00131.000  -87.40  -89.66
00132.000  -87.82  -90.63
00133.000  -87.38  -85.07
00134.000  -87.39  -80.62
00135.000  -88.42  -78.83
00136.000  -87.60  -83.23
00137.000  -87.43  -89.09
00138.000  -87.65  -90.51
00139.000  -86.78  -89.70
00140.000  -87.29  -85.34
00141.000  -87.65  -89.94
00142.000  -86.37  -84.11
00143.000  -86.77  -81.07
00144.000  -86.98  -90.60
00145.000  -87.50  -89.54
00146.000  -86.59  -86.21
00147.000  -87.02  -88.08
00148.000  -87.64  -97.22
00149.000  -86.69  -92.57
00150.000  -86.45 -105.63
00151.000  -87.93 -111.77
00152.000  -86.87 -109.35
00153.000  -87.60 -111.04
00154.000  -87.14 -120.69
00155.000  -88.59 -126.00
00156.000  -88.22 -123.71
00157.000  -87.90 -128.33
00158.000  -86.99 -125.41
00159.000  -87.39 -120.86
00160.000  -87.73 -124.50
00161.000  -88.26 -123.87
00162.000  -87.14 -118.92
00163.000  -87.95 -118.83
00164.000  -87.69 -120.67
00165.000  -87.63 -112.35
00166.000  -87.18 -114.91
00167.000  -87.56 -117.09
00168.000  -86.90 -118.11
00169.000  -87.50 -118.79
00170.000  -86.82 -111.73
00171.000  -86.97 -109.53
00172.000  -86.98 -107.32
00173.000  -87.09 -113.12
00174.000  -88.18 -107.55
00175.000  -86.37 -112.74
00176.000  -86.04 -117.65
00177.000  -86.53 -115.91
00178.000  -87.42 -117.38
00179.000  -87.21 -108.97
00180.000  -87.39 -109.51
00181.000  -87.43 -107.73
00182.000  -87.67 -107.45
00183.000  -87.15 -100.37
00184.000  -87.81  -98.22
00185.000  -88.58 -105.97
00186.000  -87.92 -102.64
00187.000  -87.71 -108.45
00188.000  -87.35 -108.85
00189.000  -87.97 -110.57
00190.000  -87.58 -104.13
00191.000  -87.45 -108.63
00192.000  -87.99 -100.96
00193.000  -87.95 -102.18
00194.000  -88.45 -102.43
00195.000  -87.24  -99.88
00196.000  -88.88  -85.04
00197.000  -87.46  -94.72
00198.000  -88.75  -94.69
00199.000  -87.38 -109.59
00200.000  -86.99 -105.27
00201.000  -85.72 -108.86
00202.000  -86.56 -110.55
00203.000  -86.64 -109.18
00204.000  -86.80 -111.18
00205.000  -84.50 -102.94
00206.000  -85.96 -105.27
00207.000  -86.92 -105.64
00208.000  -86.66  -98.95
00209.000  -85.96 -108.38
00210.000  -86.81 -109.32
00211.000  -87.36 -107.60
00212.000  -87.44 -108.42
00213.000  -86.63 -106.32
00214.000  -86.91 -103.41
00215.000  -86.66 -106.55
00216.000  -88.82 -102.82
00217.000  -87.33 -104.59
00218.000  -87.93 -103.81
00219.000  -87.77 -110.45
00220.000  -86.65  -97.13
00221.000  -87.41 -101.61
00222.000  -87.12 -105.75
00223.000  -87.34  -96.14
00224.000  -87.59  -98.85
00225.000  -87.19  -96.00
00226.000  -88.62  -87.08
00227.000  -87.28  -92.01
00228.000  -88.26  -85.21
00229.000  -85.69  -88.19
00230.000  -86.96  -82.74
00231.000  -86.63  -84.69
00232.000  -87.15  -83.88
00233.000  -87.01  -78.92
00234.000  -87.37  -80.38
00235.000  -86.75  -84.69
00236.000  -87.23  -79.22
00237.000  -87.33  -81.24
00238.000  -86.05  -78.23
00239.000  -86.44  -82.88
00240.000  -86.73  -78.46
00241.000  -86.37  -73.74
00242.000  -86.81  -71.53
00243.000  -86.02  -73.30
00244.000  -87.20  -76.46
00245.000  -87.57  -74.77
00246.000  -86.63  -73.45
00247.000  -87.69  -71.87
00248.000  -87.66  -68.67
00249.000  -87.13  -80.86
00250.000  -87.49  -81.95
00251.000  -87.31  -83.20
00252.000  -86.91  -86.57
00253.000  -86.61  -87.90
00254.000  -87.07  -81.74
00255.000  -87.44  -76.63
00256.000  -87.53  -81.93
00257.000  -86.41  -91.45
00258.000  -86.73  -74.83
00259.000  -87.17  -78.45
00260.000  -87.87  -88.29
00261.000  -86.67  -85.88
00262.000  -87.38  -88.53
00263.000  -86.68  -88.25
00264.000  -87.82  -86.04
00265.000  -88.60  -88.25
00266.000  -87.01  -76.92
00267.000  -87.45  -91.02
00268.000  -85.74  -92.16
00269.000  -86.43 -100.63
00270.000  -86.22  -97.85
00271.000  -87.12 -102.84
00272.000  -86.53  -99.64
00273.000  -86.47 -101.18
00274.000  -88.15  -99.66
00275.000  -86.84 -100.43
00276.000  -86.11 -104.09
00277.000  -86.17 -108.18
00278.000  -87.30  -95.86
00279.000  -86.96  -95.75
00280.000  -87.71 -102.50
00281.000  -85.52  -99.62
00282.000  -86.21 -102.57
00283.000  -87.87 -108.80
00284.000  -87.13 -102.63
00285.000  -86.86 -109.53
00286.000  -86.01 -117.97
00287.000  -87.76 -114.75
00288.000  -88.11 -117.41
00289.000  -87.40 -115.07
00290.000  -87.30 -116.75
00291.000  -87.25 -112.71
00292.000  -87.55 -113.48
00293.000  -88.17 -118.24
00294.000  -87.74 -116.35
00295.000  -87.29 -118.79
00296.000  -86.84 -113.01
00297.000  -87.65 -115.56
00298.000  -86.94 -113.18
00299.000  -86.63 -107.31
00300.000  -86.35 -104.47
00301.000  -86.99 -109.48
00302.000  -87.15 -104.22
00303.000  -87.43 -110.33
00304.000  -87.78 -103.02
00305.000  -86.71 -106.32
00306.000  -87.24  -97.31
00307.000  -86.52  -97.55
00308.000  -86.68  -97.53
00309.000  -86.20  -85.83
00310.000  -86.35  -95.38
00311.000  -86.66  -92.10
00312.000  -86.59  -94.24
00313.000  -86.11 -102.48
00314.000  -86.21 -101.28
00315.000  -86.24 -108.37
00316.000  -87.57 -110.79
00317.000  -87.65 -118.04
00318.000  -86.70 -120.43
00319.000  -86.50 -116.00
00320.000  -86.67 -118.34
00321.000  -88.26 -116.70
00322.000  -87.52 -108.22
00323.000  -87.44 -113.84
00324.000  -86.91 -110.47
00325.000  -87.29 -116.58
00326.000  -87.58 -116.03
00327.000  -87.14 -121.03
00328.000  -87.15 -119.29
00329.000  -86.95 -116.59
00330.000  -87.23 -113.60
00331.000  -87.66 -122.54
00332.000  -87.36 -120.15
00333.000  -87.19 -124.12
00334.000  -86.47 -124.14
00335.000  -87.95 -123.53
00336.000  -87.41 -125.21
00337.000  -87.39 -128.05
00338.000  -86.65 -128.07
00339.000  -86.35 -126.38
00340.000  -86.81 -124.90
00341.000  -87.26 -128.64
00342.000  -86.94 -136.73
00343.000  -86.26 -133.15
00344.000  -85.81 -131.43
00345.000  -86.43 -132.79
00346.000  -87.36 -137.41
00347.000  -87.47 -137.54
00348.000  -86.55 -134.59
00349.000  -86.44 -136.81
00350.000  -87.33 -133.84
00351.000  -88.69 -135.61
00352.000  -87.97 -143.47
00353.000  -86.98 -139.79
00354.000  -87.57 -147.61
00355.000  -87.61 -144.90
00356.000  -88.39 -145.23
00357.000  -88.77 -136.84
00358.000  -88.28 -133.45
00359.000  -87.94 -132.12
00360.000  -87.39 -129.11
00361.000  -88.06 -125.52
00362.000  -88.15 -128.74
00363.000  -87.11 -135.18
00364.000  -87.18 -135.41
00365.000  -87.25 -133.36
00366.000  -87.98 -125.82
00367.000  -87.60 -132.46
00368.000  -87.92 -139.92
00369.000  -86.92 -137.28
00370.000  -87.26 -132.97
00371.000  -87.56 -129.02
00372.000  -87.69 -131.08
00373.000  -88.96 -128.12
00374.000  -88.73 -126.17
00375.000  -86.19 -129.60
00376.000  -86.24 -127.84
00377.000  -86.96 -125.04
00378.000  -87.22 -126.50
00379.000  -86.75 -123.90
00380.000  -88.00 -133.93
00381.000  -88.83 -126.25
00382.000  -88.66 -122.07
00383.000  -87.18 -124.14
00384.000  -88.29 -122.89
00385.000  -87.88 -118.35
00386.000  -88.63 -121.77
00387.000  -87.28 -130.72
00388.000  -87.44 -132.59
00389.000  -87.71 -132.38
00390.000  -87.71 -138.68
00391.000  -88.08 -131.83
00392.000  -87.83 -145.91
00393.000  -87.14 -141.98
00394.000  -87.61 -138.10
00395.000  -88.11 -140.75
00396.000  -89.81 -143.97
00397.000  -87.79 -143.94
00398.000  -87.06 -142.97
00399.000  -86.09 -141.49
00400.000  -88.20 -144.33
00401.000  -88.75 -142.70
00402.000  -88.87 -149.66
00403.000  -89.28 -144.00
00404.000  -86.87 -142.35
00405.000  -87.35 -142.62
00406.000  -86.47 -142.46
00407.000  -86.67 -141.22
00408.000  -86.94 -145.74
00409.000  -87.47 -139.50
00410.000  -87.02 -151.21
00411.000  -87.03 -147.10
00412.000  -87.39 -143.67
00413.000  -86.54 -140.77
00414.000  -85.95 -136.34
00415.000  -87.53 -135.24
00416.000  -86.66 -141.02
00417.000  -87.05 -143.02
00418.000  -87.68 -142.59
00419.000  -86.92 -141.54
00420.000  -87.32 -146.64
00421.000  -87.59 -141.03
00422.000  -88.20 -139.92
00423.000  -88.20 -134.17
00424.000  -87.39 -132.07
00425.000  -88.56 -137.82
00426.000  -87.25 -130.64
00427.000  -87.99 -136.41
00428.000  -87.94 -129.56
00429.000  -88.41 -130.33
00430.000  -88.69 -148.20
00431.000  -86.08 -148.29
00432.000  -87.87 -142.82
00433.000  -87.57 -142.11
00434.000  -87.09 -140.22
00435.000  -86.55 -143.40
00436.000  -87.50 -141.64
00437.000  -87.77 -140.51
00438.000  -86.95 -128.38
00439.000  -87.20 -128.56
00440.000  -86.77 -125.11
00441.000  -86.56 -122.47
00442.000  -86.40 -122.58
00443.000  -87.75 -121.53
00444.000  -87.27 -112.00
00445.000  -87.40 -106.29
00446.000  -87.07 -107.73
00447.000  -86.64 -100.97
00448.000  -87.36 -101.66
00449.000  -86.72 -103.52
00450.000  -86.66 -110.33
00451.000  -86.96 -113.55
00452.000  -87.11 -114.36
00453.000  -86.28 -116.49
00454.000  -86.92 -115.82
00455.000  -87.17 -114.36
00456.000  -86.68 -111.40
00457.000  -86.58 -121.47
00458.000  -88.11 -125.42
00459.000  -87.09 -117.80
00460.000  -87.21 -114.39
00461.000  -86.45 -120.16
00462.000  -87.45 -114.83
00463.000  -87.93 -125.98
00464.000  -88.86 -127.41
00465.000  -87.10 -117.30
00466.000  -86.31 -125.42
00467.000  -88.35 -130.96
00468.000  -88.29 -119.91
00469.000  -87.74 -121.37
00470.000  -88.15 -125.39
00471.000  -86.23 -126.39
00472.000  -87.69 -125.63
00473.000  -87.33 -130.38
00474.000  -87.21 -129.75
00475.000  -85.95 -135.10
00476.000  -85.87 -127.66
00477.000  -87.14 -133.97
00478.000  -87.70 -140.71
00479.000  -86.27 -139.08
00480.000  -86.04 -138.20
00481.000  -86.91 -137.95
00482.000  -87.01 -141.41
00483.000  -86.83 -138.30
00484.000  -87.87 -139.79
00485.000  -86.18 -148.30
00486.000  -86.57 -150.14
00487.000  -85.74 -157.64
00488.000  -87.01 -151.83
00489.000  -87.73 -146.36
00490.000  -86.55 -139.65
00491.000  -87.31 -138.43
00492.000  -88.17 -139.42
00493.000  -88.51 -144.34
00494.000  -88.38 -139.88
00495.000  -87.05 -139.31
00496.000  -88.14 -150.43
00497.000  -89.09 -146.17
00498.000  -89.52 -151.41
00499.000  -87.74 -149.69
00500.000  -86.99 -143.79
00501.000  -86.92 -150.02
00502.000  -88.06 -147.08
00503.000  -85.75 -143.06
00504.000  -86.98 -147.26
00505.000  -86.46 -140.68
00506.000  -86.70 -150.19
00507.000  -87.40 -147.03
00508.000  -86.71 -147.21
00509.000  -86.73 -140.92
00510.000  -86.41 -143.60
00511.000  -86.97 -143.88
00512.000  -88.16 -148.88
00513.000  -87.08 -147.65
00514.000  -86.49 -142.64
00515.000  -86.36 -139.11
00516.000  -86.59 -134.66
00517.000  -86.88 -126.60
00518.000  -87.29 -130.20
00519.000  -86.97 -134.72
00520.000  -87.42 -127.30
00521.000  -88.28 -134.52
00522.000  -87.99 -124.68
00523.000  -87.76 -120.99
00524.000  -86.12 -128.08
00525.000  -87.54 -122.61
00526.000  -88.69 -123.55
00527.000  -87.15 -124.65
00528.000  -87.20 -116.84
00529.000  -87.03 -124.88
00530.000  -87.14 -120.09
00531.000  -88.67 -125.78
00532.000  -88.71 -120.67
00533.000  -87.96 -117.58
00534.000  -86.50 -125.73
00535.000  -85.99 -126.14
00536.000  -87.55 -129.00
00537.000  -88.24 -132.97
00538.000  -86.84 -137.19
00539.000  -86.46 -141.04
00540.000  -87.42 -146.99
00541.000  -87.47 -148.35
00542.000  -87.56 -146.95
00543.000  -85.75 -150.85
00544.000  -87.30 -166.11
00545.000  -87.79 -164.63
00546.000  -87.97 -159.73
00547.000  -87.63 -158.85
00548.000  -87.25 -155.96
00549.000  -86.19 -156.48
00550.000  -87.68 -155.60
00551.000  -86.97 -154.59
00552.000  -86.80 -157.04
00553.000  -86.99 -158.18
00554.000  -86.55 -162.29
00555.000  -87.89 -165.71
00556.000  -87.17 -160.74
00557.000  -87.25 -167.09
00558.000  -86.92 -156.49
00559.000  -86.73 -154.54
00560.000  -86.92 -151.48
00561.000  -86.89 -159.22
00562.000  -86.36 -153.33
00563.000  -86.65 -154.38
00564.000  -87.74 -153.19
00565.000  -86.97 -157.56
00566.000  -86.47 -150.66
00567.000  -86.16 -153.93
00568.000  -86.30 -160.23
00569.000  -86.32 -154.96
00570.000  -86.12 -151.26
00571.000  -86.19 -153.11
00572.000  -85.36 -161.51
00573.000  -85.85 -162.55
00574.000  -85.75 -168.10
00575.000  -88.15 -168.78
00576.000  -86.52 -154.60
00577.000  -86.30 -162.11
00578.000  -86.49 -160.00
00579.000  -85.82 -154.39
00580.000  -86.30 -160.53
00581.000  -85.83 -154.44
00582.000  -86.95 -157.64
00583.000  -86.80 -159.63
00584.000  -86.79 -152.91
00585.000  -86.41 -150.27
00586.000  -86.92 -156.43
00587.000  -87.50 -140.91
00588.000  -87.38 -144.26
00589.000  -87.45 -139.45
00590.000  -87.18 -138.99
00591.000  -87.08 -143.18
00592.000  -86.80 -141.57
00593.000  -86.53 -140.43
00594.000  -86.76 -137.40
00595.000  -86.64 -138.84
00596.000  -86.61 -141.64
00597.000  -85.49 -141.73
00598.000  -86.78 -139.22
00599.000  -87.37 -137.33
00600.000  -87.17 -139.31
00601.000  -86.22 -137.19
00602.000  -86.10 -136.83
00603.000  -87.32 -133.61
00604.000  -87.55 -135.53
00605.000  -86.29 -130.09
00606.000  -86.10 -132.10
00607.000  -87.24 -129.07
00608.000  -86.73 -126.42
00609.000  -88.56 -131.18
00610.000  -87.57 -130.39
00611.000  -86.85 -137.13
00612.000  -87.24 -137.59
00613.000  -87.31 -129.91
00614.000  -87.77 -137.16
00615.000  -87.08 -137.19
00616.000  -86.69 -143.22
00617.000  -85.96 -139.49
00618.000  -87.70 -140.80
00619.000  -87.65 -139.29
00620.000  -87.25 -148.91
00621.000  -86.92 -154.69
00622.000  -87.49 -148.33
00623.000  -87.66 -162.77
00624.000  -88.16 -157.90
00625.000  -87.54 -159.36
00626.000  -86.03 -151.19
00627.000  -85.92 -162.19
00628.000  -87.52 -160.09
00629.000  -87.40 -160.52
00630.000  -86.88 -154.35
00631.000  -86.60 -160.10
00632.000  -87.88 -143.39
00633.000  -87.85 -148.11
00634.000  -87.53 -140.19
00635.000  -87.23 -153.86
00636.000  -86.44 -155.61
00637.000  -87.29 -151.95
00638.000  -87.31 -157.55
00639.000  -88.37 -153.88
00640.000  -85.91 -157.81
00641.000  -86.22 -155.71
00642.000  -85.93 -158.21
00643.000  -86.49 -154.84
00644.000  -87.91 -160.69
00645.000  -86.61 -156.38
00646.000  -85.95 -157.09
00647.000  -86.12 -152.10
00648.000  -87.20 -156.64
00649.000  -87.24 -159.46
00650.000  -86.41 -172.19
00651.000  -87.30 -163.90
00652.000  -87.66 -158.33
00653.000  -88.20 -152.70
00654.000  -86.53 -148.50
00655.000  -86.97 -152.50
00656.000  -86.39 -140.49
00657.000  -87.64 -154.78
00658.000  -88.24 -145.63
00659.000  -88.05 -148.75
00660.000  -87.77 -153.36
00661.000  -86.80 -145.24
00662.000  -87.52 -147.57
00663.000  -88.44 -142.09
00664.000  -87.97 -156.88
00665.000  -87.48 -142.71
00666.000  -87.30 -155.16
00667.000  -86.86 -149.77
00668.000  -87.58 -148.27
00669.000  -86.32 -145.98
00670.000  -85.35 -145.91
00671.000  -86.25 -142.65
00672.000  -86.42 -142.84
00673.000  -85.83 -140.36
00674.000  -86.67 -141.05
00675.000  -85.82 -140.79
00676.000  -85.68 -135.46
00677.000  -86.06 -134.76
00678.000  -87.05 -137.08
00679.000  -86.28 -137.72
00680.000  -87.50 -136.38
00681.000  -87.00 -138.41
00682.000  -86.78 -139.65
00683.000  -86.25 -136.33
00684.000  -87.20 -134.42
00685.000  -88.73 -132.70
00686.000  -86.44 -122.82
00687.000  -87.87 -116.78
00688.000  -86.93 -123.43
00689.000  -86.52 -121.94
00690.000  -87.92 -118.69
