% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-14
% Frequency: 24800.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00000.000  -76.26  -88.68
00001.000  -76.55  -90.02
00002.000  -76.04  -88.50
00003.000  -76.22  -90.54
00004.000  -76.05  -90.46
00005.000  -76.29  -92.89
00006.000  -76.30  -92.25
00007.000  -76.43  -88.42
00008.000  -75.96  -90.85
00009.000  -76.24  -84.56
00010.000  -75.69  -92.16
00011.000  -75.58  -91.04
00012.000  -75.76  -86.39
00013.000  -75.88  -90.24
00014.000  -75.82  -89.22
00015.000  -75.82  -93.33
00016.000  -76.33  -92.08
00017.000  -76.07  -88.32
00018.000  -75.90  -88.56
00019.000  -76.17  -87.23
00020.000  -76.43  -87.30
00021.000  -76.10  -83.31
00022.000  -76.09  -81.59
00023.000  -75.89  -90.08
00024.000  -75.84  -91.31
00025.000  -76.48  -87.50
00026.000  -76.20  -94.34
00027.000  -75.76  -86.56
00028.000  -76.19  -90.40
00029.000  -75.68  -87.39
00030.000  -76.29  -86.47
00031.000  -76.87  -86.65
00032.000  -75.96  -91.67
00033.000  -75.70  -93.03
00034.000  -76.32  -91.61
00035.000  -75.93  -93.21
00036.000  -76.51  -90.22
00037.000  -76.01  -89.58
00038.000  -76.22  -87.94
00039.000  -76.42  -84.58
00040.000  -76.50  -90.64
00041.000  -76.45  -88.96
00042.000  -75.94  -91.01
00043.000  -75.57  -93.56
00044.000  -76.07  -92.86
00045.000  -76.05  -88.33
00046.000  -76.55  -93.31
00047.000  -75.92  -92.23
00048.000  -76.01  -88.27
00049.000  -76.01  -91.96
00050.000  -75.72  -94.83
00051.000  -76.74  -93.93
00052.000  -76.23  -93.04
00053.000  -76.39  -92.41
00054.000  -75.42  -89.66
00055.000  -76.14  -93.95
00056.000  -76.47  -90.18
00057.000  -76.09  -90.88
00058.000  -76.04  -89.83
00059.000  -76.24  -93.97
00060.000  -75.91  -90.43
00061.000  -75.93  -94.36
00062.000  -76.44  -92.50
00063.000  -76.09  -93.72
00064.000  -76.47  -91.68
00065.000  -76.77  -89.69
00066.000  -76.00  -92.87
00067.000  -75.61  -91.47
00068.000  -76.05  -93.60
00069.000  -75.34  -92.97
00070.000  -76.18  -89.40
00071.000  -76.29  -92.44
00072.000  -76.74  -93.76
00073.000  -76.13  -91.74
00074.000  -75.78  -92.51
00075.000  -76.56  -92.48
00076.000  -76.13  -94.72
00077.000  -75.88  -93.57
00078.000  -75.79  -88.94
00079.000  -76.19  -94.93
00080.000  -76.51  -94.25
00081.000  -75.77  -90.24
00082.000  -75.72  -88.58
00083.000  -75.73  -89.06
00084.000  -75.64  -94.27
00085.000  -75.89  -92.42
00086.000  -76.07  -95.30
00087.000  -76.35  -92.40
00088.000  -76.05  -95.17
00089.000  -76.34  -92.73
00090.000  -76.76  -87.28
00091.000  -76.10  -91.44
00092.000  -76.37  -96.28
00093.000  -75.85  -98.24
00094.000  -76.08  -91.28
00095.000  -75.54  -92.77
00096.000  -75.45  -96.23
00097.000  -76.38  -96.24
00098.000  -75.54  -92.46
00099.000  -75.55  -94.47
00100.000  -75.80  -93.44
00101.000  -75.53  -95.91
00102.000  -76.12  -92.81
00103.000  -76.16 -101.50
00104.000  -75.83  -97.52
00105.000  -76.33  -94.45
00106.000  -75.85  -96.34
00107.000  -75.42  -96.61
00108.000  -76.04  -95.99
00109.000  -76.00  -97.24
00110.000  -76.36  -99.02
00111.000  -75.90  -99.12
00112.000  -75.78  -95.09
00113.000  -76.57  -94.05
00114.000  -75.58  -97.60
00115.000  -75.95  -96.60
00116.000  -75.61  -95.52
00117.000  -76.35  -94.42
00118.000  -76.01  -96.09
00119.000  -75.92  -94.06
00120.000  -75.55  -97.49
00121.000  -76.25  -95.86
00122.000  -76.27  -96.89
00123.000  -76.33  -99.63
00124.000  -75.85  -97.74
00125.000  -76.04  -96.71
00126.000  -76.06  -97.39
00127.000  -75.86  -94.86
00128.000  -76.24  -97.37
00129.000  -76.14  -99.78
00130.000  -75.73  -94.93
00131.000  -76.15  -92.19
00132.000  -75.37 -100.33
00133.000  -75.92  -97.63
00134.000  -75.78  -99.11
00135.000  -76.06  -94.48
00136.000  -75.41  -95.71
00137.000  -75.88  -98.71
00138.000  -76.02  -96.49
00139.000  -76.17  -95.58
00140.000  -75.53 -100.04
00141.000  -75.84  -96.21
00142.000  -76.75 -100.00
00143.000  -76.06  -96.45
00144.000  -76.47  -95.69
00145.000  -76.01  -96.75
00146.000  -76.09  -97.75
00147.000  -75.46  -98.26
00148.000  -76.10 -100.04
00149.000  -76.39 -100.73
00150.000  -76.28  -95.78
00151.000  -75.78  -99.54
00152.000  -75.81  -97.03
00153.000  -75.64 -101.03
