% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-04
% Frequency: 37500.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00000.000  -87.75 -178.02
00001.000  -88.12 -177.11
00002.000  -87.88 -179.28
00003.000  -87.79 -178.66
00004.000  -87.87 -178.28
00005.000  -87.65 -177.61
00006.000  -87.88 -175.23
00007.000  -87.58 -175.59
00008.000  -87.48 -176.87
00009.000  -87.62 -175.12
00010.000  -87.73 -176.75
00011.000  -87.62 -175.42
00012.000  -87.79 -176.33
00013.000  -87.70 -176.71
00014.000  -87.28 -176.20
00015.000  -87.24 -176.79
00016.000  -87.51 -176.36
00017.000  -87.43 -175.99
00018.000  -87.43 -178.30
00019.000  -87.31 -177.11
00020.000  -87.21 -177.88
00021.000  -87.03 -177.24
00022.000  -87.13 -176.94
00023.000  -87.13 -177.27
00024.000  -86.94 -177.50
00025.000  -86.72 -177.58
00026.000  -86.92 -176.88
00027.000  -86.94 -177.57
00028.000  -87.27 -175.35
00029.000  -86.73 -177.63
00030.000  -86.60 -175.75
00031.000  -86.74 -174.52
00032.000  -86.78 -174.82
00033.000  -86.71 -175.39
00034.000  -86.45 -174.28
00035.000  -86.82 -173.14
00036.000  -86.62 -175.31
00037.000  -86.64 -171.33
00038.000  -86.89 -171.73
00039.000  -86.92 -171.80
00040.000  -86.80 -171.75
00041.000  -86.82 -170.95
00042.000  -87.08 -170.95
00043.000  -86.82 -170.92
00044.000  -86.91 -171.44
00045.000  -86.84 -170.64
00046.000  -86.66 -168.84
00047.000  -86.97 -170.05
00048.000  -86.71 -168.90
00049.000  -86.83 -171.40
00050.000  -86.75 -167.35
00051.000  -87.05 -168.22
00052.000  -86.56 -168.09
00053.000  -86.64 -170.43
00054.000  -86.79 -170.10
00055.000  -86.61 -169.19
00056.000  -86.57 -170.40
00057.000  -86.65 -170.45
00058.000  -86.53 -171.55
00059.000  -86.44 -169.29
00060.000  -86.62 -170.20
00061.000  -86.71 -171.87
00062.000  -86.46 -171.95
00063.000  -86.58 -171.74
00064.000  -86.53 -170.57
00065.000  -86.36 -173.12
00066.000  -86.21 -170.98
00067.000  -86.12 -174.00
00068.000  -86.17 -175.02
00069.000  -86.41 -172.58
00070.000  -85.70 -172.11
00071.000  -86.21 -174.79
00072.000  -85.99 -173.95
00073.000  -86.02 -173.46
00074.000  -85.88 -176.90
00075.000  -86.17 -177.22
00076.000  -85.91 -176.52
00077.000  -86.03 -177.43
00078.000  -86.03 -178.53
00079.000  -85.77 -178.69
00080.000  -85.80 -176.86
00081.000  -85.86 -176.60
00082.000  -85.99 -177.91
00083.000  -85.62 -178.69
00084.000  -85.86 -177.88
00085.000  -85.65 -177.47
00086.000  -85.67 -178.52
00087.000  -85.63  179.56
00088.000  -85.44  177.71
00089.000  -85.78  178.62
00090.000  -85.51 -179.90
00091.000  -85.92  178.81
00092.000  -85.63  177.60
00093.000  -85.72  179.46
00094.000  -85.67  179.05
00095.000  -85.54  177.97
00096.000  -85.95  179.95
00097.000  -85.67  179.38
00098.000  -85.92 -179.94
00099.000  -86.12  179.73
00100.000  -85.82  179.96
00101.000  -86.00  179.58
00102.000  -86.01 -178.08
00103.000  -85.94 -178.32
00104.000  -85.94 -179.89
00105.000  -85.87 -178.76
00106.000  -85.99  179.96
00107.000  -85.90 -177.44
00108.000  -85.77 -178.61
00109.000  -85.67 -177.92
00110.000  -85.70 -177.34
00111.000  -85.73 -177.99
00112.000  -85.93 -179.97
00113.000  -86.07 -178.45
00114.000  -85.63 -176.93
00115.000  -85.89 -178.58
00116.000  -85.79 -178.80
00117.000  -85.68 -179.30
00118.000  -86.06  179.77
00119.000  -85.90 -178.59
00120.000  -85.80 -176.88
00121.000  -86.09 -179.86
00122.000  -85.91 -177.68
00123.000  -85.97  179.55
00124.000  -86.01 -177.86
00125.000  -85.86 -177.50
00126.000  -86.04 -178.10
00127.000  -85.84 -179.63
00128.000  -85.95 -178.92
00129.000  -85.88 -178.97
00130.000  -85.94 -178.79
00131.000  -85.74 -179.06
00132.000  -85.92 -178.97
00133.000  -85.94 -179.01
00134.000  -85.91 -179.72
00135.000  -85.93  179.46
00136.000  -85.80 -178.76
00137.000  -85.76 -179.78
00138.000  -85.89  179.21
00139.000  -85.87  179.52
00140.000  -85.82  179.99
00141.000  -85.55  178.80
00142.000  -85.79  179.24
00143.000  -85.48 -179.83
00144.000  -85.87 -179.71
00145.000  -85.49  177.31
00146.000  -85.79  178.69
00147.000  -85.61  177.76
00148.000  -85.96  176.95
00149.000  -85.36 -179.43
00150.000  -85.48  178.99
00151.000  -85.81  178.18
00152.000  -85.68  175.42
00153.000  -85.53  177.04
00154.000  -85.71  177.87
00155.000  -85.78  176.06
00156.000  -85.76  177.22
00157.000  -85.61  178.80
00158.000  -85.54  177.81
00159.000  -85.56  179.41
00160.000  -85.47  177.35
00161.000  -85.55  176.97
00162.000  -85.45  176.12
00163.000  -85.29  179.29
00164.000  -85.55  177.11
00165.000  -85.34  177.44
00166.000  -85.23  176.76
00167.000  -85.44  176.41
00168.000  -85.32  175.44
00169.000  -85.47  175.94
00170.000  -85.32  177.53
00171.000  -85.25  177.43
00172.000  -85.24  176.95
00173.000  -85.29  176.55
00174.000  -85.19  176.69
00175.000  -85.63  176.64
00176.000  -85.56  178.39
